Provinsi,e2018,e2019,e2020,e2021,e2022
Aceh,35.3,35.3,32.5,36.3,34.2
Sumatera Utara,27.0,25.9,27.2,25,25.6
Sumatera Barat,33.6,33.8,33.2,30.6,31.2
Riau,32.6,28.6,28.5,26.3,25.1
Jambi,35.2,33.5,36.6,34,34.7
Sumatera Selatan,28.3,27.2,29.2,26.9,34.7
Bengkulu,32.0,31.0,31.6,29.5,27.9
Lampung,36.9,37.1,39,36.1,29.7
Kepulauan Bangka Belitung,40.1,36.6,37.6,35.3,34.1
Kepulauan Riau,31.5,32.1,33.6,31.0,35.7
DKI Jakarta,44.2,47.9,43.8,40.8,31.8
Jawa Barat,39.9,39.1,39.4,36.7,41.4
Jawa Tengah,55.3,54.1,55.8,52.6,36.0
DI Yogyakarta,77.6,75.3,75.0,72.0,51.6
Jawa Timur,63.2,61.9,62.5,59.3,70.0
Banten,33.1,31.6,33.8,30.6,58.0
Bali,39.4,35.9,35.3,33.0,30.7
Nusa Tenggara Barat,44.8,47.0,47.2,45.6,32.9
Nusa Tenggara Timur,36.2,34.3,36.4,36.2,46.9
Kalimantan Barat,25.0,23.2,25.2,24.1,36.1
Kalimantan Tengah,42.1,39.1,41.4,39.8,22.5
Kalimantan Selatan,52.5,47.0,50.8,48.7,37.5
Kalimantan Timur,35.8,32.8,31.9,28.9,48.4
Kalimantan Utara,36.4,33.5,38.8,36.1,30.0
Sulawesi Utara,35.3,34.1,36.5,33.8,36.3
Sulawesi Tengah,46.4,41.8,43.8,41.2,34.2
Sulawesi Selatan,35.7,33.0,35.3,32.7,41.4
Sulawesi Tenggara,34.6,38.5,38.5,36.3,34.0
Gorontalo,55.8,55.0,53.9,55.8,37.0
Sulawesi Barat,47.3,46.0,47.1,48.2,56.2
Maluku,34.2,32.7,38.0,35.4,48.9
Maluku Utara,39.2,42.5,42.1,43.1,33.7
Papua Barat,30.4,31.0,29.4,27.4,42.3
Papua,14.6,13.0,12.7,11.7,27.8
