Provinsi,c2018,c2019,c2020,c2021,c2022
Aceh,76.2,79.5,82.4,83.2,83.6
Sumatera Utara,82.4,84.9,85.4,86.5,87.2
Sumatera Barat,71.5,72.7,75.7,76.0,77.2
Riau,83.9,83.7,86.1,86.7,87.1
Jambi,74.5,76.3,78.3,80.0,79.4
Sumatera Selatan,76.3,77.5,78.9,81.0,82.5
Bengkulu,66.5,66.8,70.3,73.6,76.3
Lampung,70.7,76.3,76.9,82.0,82.6
Kepulauan Bangka Belitung,80.6,81.9,83.8,82.8,86.3
Kepulauan Riau,86.4,88.8,89.8,91.2,89.8
DKI Jakarta,93.4,96.4,96.4,97.5,95.4
Jawa Barat,78.6,81.0,82.4,82.4,83.5
Jawa Tengah,85.3,87.1,88.7,88.4,88.8
DI Yogyakarta,93.1,94.8,96.5,96.4,96.4
Jawa Timur,84.0,86.6,88.3,88.0,88.1
Banten,84.0,86.3,87.4,88.2,88.9
Bali,94.0,95.7,96.2,96.8,97.2
Nusa Tenggara Barat,85.0,87.0,88.5,88.7,89.3
Nusa Tenggara Timur,71.5,73.5,76.8,79.4,80.2
Kalimantan Barat,75.1,74.6,77.3,78.6,78.9
Kalimantan Tengah,69.3,71.3,73.6,75.4,75.7
Kalimantan Selatan,70.8,73.0,75.8,78.9,79.4
Kalimantan Timur,83.5,86.4,87.3,87.8,88.7
Kalimantan Utara,85.6,82.6,85.8,83.3,86.1
Sulawesi Utara,84.0,86.6,87.9,88.3,89.1
Sulawesi Tengah,76.4,77.7,79.6,82.3,80.9
Sulawesi Selatan,86.3,88.6,89.9,91.4,92.1
Sulawesi Tenggara,81.0,84.7,87.4,88.8,90.9
Gorontalo,79.0,84.4,84.9,86.6,88.0
Sulawesi Barat,69.7,72.4,74.9,79.2,78.9
Maluku,81.2,80.4,83.4,85.0,84.3
Maluku Utara,77.0,78.8,81.4,82.9,83.7
Papua Barat,79.6,79.1,79.1,79.8,77.5
Papua,49.8,49.6,51.5,52.9,52.9
